"Sample","Patient","Cohort","ReadType","Read1","Read2"
"1001200613_B5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B5__N531Barcode_703-513_S34_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B5__N531Barcode_703-513_S34_R2_001.fastq.gz"
"1001200613_C5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C5__N531Barcode_703-503_S35_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C5__N531Barcode_703-503_S35_R2_001.fastq.gz"
"1001200613_D5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D5__N531Barcode_703-515_S36_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D5__N531Barcode_703-515_S36_R2_001.fastq.gz"
"1001200613_E5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E5__N531Barcode_703-505_S37_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E5__N531Barcode_703-505_S37_R2_001.fastq.gz"
"1001200613_F5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F5__N531Barcode_703-516_S38_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F5__N531Barcode_703-516_S38_R2_001.fastq.gz"
"1001200613_G5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G5__N531Barcode_703-506_S39_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G5__N531Barcode_703-506_S39_R2_001.fastq.gz"
"1001200613_H5","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H5__N531Barcode_703-517_S40_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H5__N531Barcode_703-517_S40_R2_001.fastq.gz"
"1001200613_A6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A6__N531Barcode_703-507_S41_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A6__N531Barcode_703-507_S41_R2_001.fastq.gz"
"1001200613_B6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B6__N531Barcode_703-518_S42_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B6__N531Barcode_703-518_S42_R2_001.fastq.gz"
"1001200613_C6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C6__N531Barcode_703-508_S43_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C6__N531Barcode_703-508_S43_R2_001.fastq.gz"
"1001200613_D6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D6__N531Barcode_703-520_S44_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D6__N531Barcode_703-520_S44_R2_001.fastq.gz"
"1001200613_E6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E6__N531Barcode_703-510_S45_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E6__N531Barcode_703-510_S45_R2_001.fastq.gz"
"1001200613_F6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F6__N531Barcode_703-521_S46_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F6__N531Barcode_703-521_S46_R2_001.fastq.gz"
"1001200613_G6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G6__N531Barcode_703-511_S47_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G6__N531Barcode_703-511_S47_R2_001.fastq.gz"
"1001200613_H6","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H6__N531Barcode_703-522_S48_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H6__N531Barcode_703-522_S48_R2_001.fastq.gz"
"1001200613_A7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A7__N531Barcode_704-502_S49_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A7__N531Barcode_704-502_S49_R2_001.fastq.gz"
"1001200613_B7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B7__N531Barcode_704-513_S50_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B7__N531Barcode_704-513_S50_R2_001.fastq.gz"
"1001200613_C7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C7__N531Barcode_704-503_S51_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C7__N531Barcode_704-503_S51_R2_001.fastq.gz"
"1001200613_D7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D7__N531Barcode_704-515_S52_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D7__N531Barcode_704-515_S52_R2_001.fastq.gz"
"1001200613_E7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E7__N531Barcode_704-505_S53_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E7__N531Barcode_704-505_S53_R2_001.fastq.gz"
"1001200613_F7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F7__N531Barcode_704-516_S54_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F7__N531Barcode_704-516_S54_R2_001.fastq.gz"
"1001200613_G7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G7__N531Barcode_704-506_S55_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G7__N531Barcode_704-506_S55_R2_001.fastq.gz"
"1001200613_H7","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H7__N531Barcode_704-517_S56_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H7__N531Barcode_704-517_S56_R2_001.fastq.gz"
"1001200613_A8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A8__N531Barcode_704-507_S57_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A8__N531Barcode_704-507_S57_R2_001.fastq.gz"
"1001200613_B8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B8__N531Barcode_704-518_S58_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B8__N531Barcode_704-518_S58_R2_001.fastq.gz"
"1001200613_C8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C8__N531Barcode_704-508_S59_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C8__N531Barcode_704-508_S59_R2_001.fastq.gz"
"1001200613_D8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D8__N531Barcode_704-520_S60_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D8__N531Barcode_704-520_S60_R2_001.fastq.gz"
"1001200613_E8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E8__N531Barcode_704-510_S61_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E8__N531Barcode_704-510_S61_R2_001.fastq.gz"
"1001200613_F8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F8__N531Barcode_704-521_S62_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F8__N531Barcode_704-521_S62_R2_001.fastq.gz"
"1001200613_G8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G8__N531Barcode_704-511_S63_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G8__N531Barcode_704-511_S63_R2_001.fastq.gz"
"1001200613_H8","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H8__N531Barcode_704-522_S64_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H8__N531Barcode_704-522_S64_R2_001.fastq.gz"
"1001200613_A9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A9__N531Barcode_705-502_S65_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A9__N531Barcode_705-502_S65_R2_001.fastq.gz"
"1001200613_B9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B9__N531Barcode_705-513_S66_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B9__N531Barcode_705-513_S66_R2_001.fastq.gz"
"1001200613_C9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C9__N531Barcode_705-503_S67_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C9__N531Barcode_705-503_S67_R2_001.fastq.gz"
"1001200613_D9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D9__N531Barcode_705-515_S68_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D9__N531Barcode_705-515_S68_R2_001.fastq.gz"
"1001200613_E9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E9__N531Barcode_705-505_S69_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E9__N531Barcode_705-505_S69_R2_001.fastq.gz"
"1001200613_F9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F9__N531Barcode_705-516_S70_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F9__N531Barcode_705-516_S70_R2_001.fastq.gz"
"1001200613_G9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G9__N531Barcode_705-506_S71_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G9__N531Barcode_705-506_S71_R2_001.fastq.gz"
"1001200613_H9","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H9__N531Barcode_705-517_S72_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H9__N531Barcode_705-517_S72_R2_001.fastq.gz"
"1001200613_A10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A10__N531Barcode_705-507_S73_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A10__N531Barcode_705-507_S73_R2_001.fastq.gz"
"1001200613_B10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B10__N531Barcode_705-518_S74_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_B10__N531Barcode_705-518_S74_R2_001.fastq.gz"
"1001200613_C10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C10__N531Barcode_705-508_S75_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_C10__N531Barcode_705-508_S75_R2_001.fastq.gz"
"1001200613_D10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D10__N531Barcode_705-520_S76_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_D10__N531Barcode_705-520_S76_R2_001.fastq.gz"
"1001200613_E10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E10__N531Barcode_705-510_S77_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_E10__N531Barcode_705-510_S77_R2_001.fastq.gz"
"1001200613_F10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F10__N531Barcode_705-521_S78_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_F10__N531Barcode_705-521_S78_R2_001.fastq.gz"
"1001200613_G10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G10__N531Barcode_705-511_S79_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_G10__N531Barcode_705-511_S79_R2_001.fastq.gz"
"1001200613_H10","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H10__N531Barcode_705-522_S80_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_H10__N531Barcode_705-522_S80_R2_001.fastq.gz"
"1001200613_A11","BetaCells","Beta","paired","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A11__N531Barcode_706-502_S81_R1_001.fastq.gz","/oak/stanford/groups/quake/jcamunas/sequencing_data/pancreas_singlecell/raw/1001200613_A11__N531Barcode_706-502_S81_R2_001.fastq.gz"
