,0
162,AB092633.1
163,AB092635.1
164,AB096085.1
165,AB097840.1
166,AB097959.2
167,AB098588.1
168,AB101583.1
169,AB104683.1
170,AB107150.1
171,AB107159.1
172,AB107180.1
173,AB107185.1
174,AB107190.1
175,AB107492.1
176,AB107571.1
177,AB108459.1
178,AB108477.1
179,AB109770.1
180,AB114610.1
181,AB116326.1
182,AB116499.1
183,AB121895.1
184,AB126892.1
185,AB127909.1
186,AB128892.1
187,AB158765.1
188,AB161085.1
189,AB161287.1
190,AB161290.1
191,AB166773.1
192,AB166777.1
193,AB166786.1
194,AB167074.1
195,AB168118.1
196,AB168121.1
197,AB168122.1
198,AB168123.1
199,AB168124.1
200,AB168126.1
201,AB168127.1
202,AB168128.1
203,AB176032.1
204,AB176256.1
205,AB176262.1
206,AB176338.1
207,AB176410.1
208,AB176873.1
209,AB180234.1
210,AB185006.1
211,AB186889.1
212,AB187752.1
213,AB188063.1
214,AB188211.1
215,AB189880.1
216,AB189881.1
217,AB189884.1
218,AB190163.1
219,AB193724.1
220,AB193725.1
221,AB193868.1
222,AB194675.1
223,AB195765.1
224,AB196018.1
225,AB196247.1
226,AB198411.1
227,AB198417.1
228,AB198842.1
229,AB200464.1
230,AB200470.1
231,AB201057.1
232,AB202128.1
233,AB202211.2
234,AB205784.1
235,AB205785.1
236,AB205802.1
237,AB205837.1
238,AB205866.1
239,AB205869.1
240,AB205955.1
241,AB205976.1
242,AB205986.1
243,AB206015.1
244,AB206024.1
245,AB206031.1
246,AB206468.1
247,AB208733.1
248,AB210986.1
249,AB211026.1
250,AB214978.1
251,AB220086.1
252,AB220107.1
253,AB223017.1
254,AB231386.1
255,AB235160.1
256,AB237664.1
257,AB237917.1
258,AB237920.1
259,AB237929.1
260,AB237960.1
261,AB237968.1
262,AB238026.1
263,AB240277.1
264,AB240712.1
265,AB241503.1
266,AB242683.1
267,AB242705.1
268,AB242710.1
269,AB242803.1
270,AB247490.1
271,AB249681.1
272,AB250597.1
273,AB254249.1
274,AB254257.1
275,AB254262.1
276,AB255430.1
277,AB257636.1
278,AB257657.1
279,AB259168.1
280,AB262683.1
281,AB262690.1
282,AB264137.1
283,AB265898.2
284,AB265974.1
285,AB266001.1
286,AB266333.1
287,AB271042.1
288,AB271043.1
289,AB272764.1
290,AB272788.1
291,AB272809.1
292,AB276064.1
293,AB276065.1
294,AB277170.1
295,AB277372.1
296,AB279894.1
297,AB279895.1
298,AB279906.1
299,AB281115.1
300,AB286365.1
301,AB288585.1
302,AB289234.1
303,AB293200.1
304,AB293202.1
305,AB293203.1
306,AB293383.1
307,AB298524.1
308,AB298565.1
309,AB299691.1
310,AB299722.1
311,AB299777.1
312,AB303017.1
313,AB325603.1
314,AB326712.1
315,AB328076.1
316,AB329659.1
317,AB330607.1
318,AB353324.1
319,AB360417.1
320,AB366284.2
321,AB369167.1
322,AB374389.1
323,AB374464.1
324,AB374493.1
325,AB375735.1
326,AB441571.1
327,AB447787.1
328,AB459718.1
329,AB459847.1
330,AB459892.1
331,AB459923.1
332,AB460251.1
333,AB461094.1
334,AB461167.1
335,AB461269.1
336,AB461997.1
337,AB477424.1
338,AB479758.1
339,AB480732.1
340,AB482289.1
341,AB483193.1
342,AB483203.1
343,AB483601.1
344,AB484130.1
345,AB484199.1
346,AB485578.1
347,AB485585.1
348,AB490322.1
349,AB512226.1
350,AB512227.1
351,AB515647.1
352,AB515864.1
353,AB518105.1
354,AB518630.1
355,AB540318.1
356,AB540422.1
357,AB553891.1
358,AB555619.1
359,AB561419.1
360,AB561435.1
361,AB561437.1
362,AB561468.1
363,AB561475.1
364,AB561618.1
365,AB561675.1
366,AB561777.1
367,AB561821.1
368,AB579078.1
369,AB580496.1
370,AB582076.1
371,AB582098.1
372,AB582234.1
373,AB589853.1
374,AB599578.1
375,AB603645.1
376,AB606833.1
377,AB637086.1
378,AB637289.1
379,AB637290.1
380,AB637291.1
381,AB645450.1
382,AB656593.1
383,AB658279.1
384,AB659188.1
385,AB665801.1
386,AB665902.1
387,AB666104.1
388,AB669529.1
389,AB695753.1
390,AB696388.1
391,AB696870.1
392,AB718317.1
393,AB718646.1
394,AB719857.1
395,AB719858.1
396,AB719860.1
397,AB729323.1
398,AB745965.1
399,AB748995.1
400,AB753967.1
401,AB762443.1
402,AB762462.1
403,AB771416.1
404,AB776125.1
405,AB776439.1
406,AB778349.1
407,AB778353.1
408,AB778373.1
409,AB794477.1
410,AB807500.1
411,AB817944.1
412,AB818475.1
413,AB825142.1
414,AB836992.1
415,AB837293.1
416,AB837465.1
417,AB837552.1
418,AB837906.1
419,AB851622.1
420,AB853305.1
421,AB853511.1
422,AB858948.1
423,AB858956.1
424,AB858957.1
425,AB858959.1
426,AB900684.1
427,AB904837.1
428,AB905983.1
429,AB920665.1
430,AB930612.1
431,AB934888.1
432,AB971499.1
433,AB974179.1
434,AE005174.2
435,AE005673.1
436,AE008922.1
437,AE014073.1
438,AF001265.1
439,AF005190.1
440,AF005192.1
441,AF007719.1
442,AF007747.1
443,AF007948.1
444,AF012416.1
445,AF012417.1
446,AF012418.1
447,AF012419.1
448,AF012421.1
449,AF013554.2
450,AF018023.1
451,AF018039.1
452,AF018065.1
453,AF023051.1
454,AF027407.1
455,AF027654.1
456,AF034812.1
457,AF041363.1
458,AF041789.1
459,AF041790.1
460,AF044946.1
461,AF045830.1
462,AF045834.1
463,AF045837.1
464,AF049532.1
465,AF052387.1
466,AF053964.1
467,AF053965.1
468,AF053966.1
469,AF053967.1
470,AF057289.1
471,AF057290.1
472,AF058046.1
473,AF058050.1
474,AF058051.1
475,AF060672.1
476,AF060673.1
477,AF061558.1
478,AF064005.1
479,AF065755.1
480,AF065756.1
481,AF067657.1
482,AF068118.1
483,AF076637.1
484,AF076638.1
485,AF076639.1
486,AF076896.1
487,AF078451.1
488,AF079809.1
489,AF083586.1
490,AF083590.1
491,AF083603.1
492,AF083615.1
493,AF084541.1
494,AF084850.1
495,AF085226.1
496,AF089856.1
497,AF089857.1
498,AF089858.1
499,AF090105.1
500,AF090106.1
501,AF090107.1
502,AF090109.1
503,AF097185.1
504,AF098107.1
505,AF102866.1
506,AF106596.1
507,AF107070.1
508,AF113133.1
509,AF114034.1
510,AF115500.1
511,AF115501.1
512,AF115929.1
513,AF115944.1
514,AF116217.1
515,AF116219.1
516,AF116220.1
517,AF116222.1
518,AF116229.1
519,AF116232.1
520,AF116234.1
521,AF116235.1
522,AF116559.1
523,AF116562.1
524,AF124033.1
525,AF124034.1
526,AF124614.1
527,AF124615.1
528,AF124616.1
529,AF124623.1
530,AF124624.2
531,AF124627.1
532,AF124634.1
533,AF124639.1
534,AF124640.1
535,AF124645.1
536,AF124646.1
537,AF125110.1
538,AF125877.1
539,AF126923.1
540,AF128638.1
541,AF128698.1
542,AF128785.1
543,AF129498.1
544,AF129500.1
545,AF131371.1
546,AF131484.1
547,AF133536.1
548,AF134077.1
549,AF134082.1
550,AF134704.1
551,AF134705.1
552,AF139600.1
553,AF140001.1
554,AF141497.1
555,AF141569.1
556,AF143477.2
557,AF143512.2
558,AF143752.1
559,AF143753.1
560,AF143765.1
561,AF144696.1
562,AF144697.1
563,AF145720.1
564,AF146370.1
565,AF146763.1
566,AF146767.1
567,AF146770.1
568,AF146772.1
569,AF146821.1
570,AF146823.1
571,AF148939.1
572,AF148940.1
573,AF149885.1
574,AF152558.1
575,AF157051.1
576,AF157478.1
577,AF157696.1
578,AF159430.1
579,AF159453.1
580,AF160963.1
581,AF163138.1
582,AF163142.1
583,AF170739.1
584,AF170740.1
585,AF170743.1
586,AF170745.1
587,AF170746.1
588,AF170752.1
589,AF170755.1
590,AF175592.1
591,AF175630.1
592,AF175763.1
593,AF175764.1
594,AF175765.1
595,AF175894.1
596,AF175895.1
597,AF175896.1
598,AF181929.1
599,AF182719.1
600,AF182721.1
601,AF182725.1
602,AF184625.1
603,AF184909.1
604,AF187052.1
605,AF188878.1
606,AF189244.1
607,AF190687.1
608,AF191073.1
609,AF191227.1
610,AF191229.1
611,AF191233.1
612,AF192136.1
613,AF192145.1
614,AF193886.1
615,AF195862.1
616,AF201900.1
617,AF205373.1
618,AF207783.1
619,AF207784.1
620,AF207785.1
621,AF207786.1
622,AF208479.1
623,AF208482.1
624,AF208483.1
625,AF208635.1
626,AF208636.1
627,AF208643.1
628,AF208644.1
629,AF208647.1
630,AF208649.1
631,AF208654.1
632,AF208655.1
633,AF209074.1
634,AF209077.1
635,AF210718.1
636,AF210769.1
637,AF211822.1
638,AF211823.1
639,AF220428.1
640,AF223253.1
641,AF226196.1
642,AF226615.1
643,AF227831.1
644,AF227863.1
645,AF229859.1
646,AF233293.1
647,AF234050.1
648,AF234069.1
649,AF234153.1
650,AF234634.1
651,AF234727.1
652,AF236000.1
653,AF236001.1
654,AF236013.1
655,AF237657.1
656,AF237975.1
657,AF237976.1
658,AF239160.1
659,AF239245.1
660,AF239694.1
661,AF239695.1
662,AF239696.1
663,AF242888.1
664,AF245335.1
665,AF245365.1
666,AF245366.1
667,AF245367.1
668,AF245368.1
669,AF245369.1
670,AF245371.1
671,AF245372.1
672,AF245373.1
673,AF245374.1
674,AF245375.1
675,AF245376.1
676,AF245377.1
677,AF245378.1
678,AF245379.1
679,AF249838.1
680,AF252854.1
681,AF253509.1
682,AF255970.1
683,AF255971.1
684,AF255978.1
685,AF257848.1
686,AF257875.1
687,AF259985.1
688,AF259992.1
689,AF260004.1
690,AF260005.1
691,AF260006.1
692,AF260007.1
693,AF260008.1
694,AF260708.1
695,AF263562.1
696,AF263564.1
697,AF263565.1
698,AF268429.1
699,AF272606.1
700,AF273255.1
701,AF273490.1
702,AF284803.1
703,AF287781.1
704,AF287782.1
705,AF287794.1
706,AF287814.1
707,AF288301.1
708,AF291794.1
709,AF294747.1
710,AF308147.1
711,AF312220.1
712,AF314192.1
713,AF317354.1
714,AF324204.1
715,AF338181.1
716,AF342829.1
717,AF342832.1
718,AF342835.1
719,AF342861.1
720,AF352392.1
721,AF352393.1
722,AF355381.1
723,AF355394.1
724,AF359941.1
725,AF361022.1
726,AF361189.1
727,AF362021.1
728,AF364931.1
729,AF364935.1
730,AF364938.1
731,AF366276.1
732,AF369903.1
733,AF369904.1
734,AF369905.1
735,AF371721.1
736,AF374293.1
737,AF375889.1
738,AF385518.1
739,AF385534.1
740,AF385541.1
741,AF385573.1
742,AF386068.1
743,AF388028.1
744,AF390082.1
745,AF390089.1
746,AF391974.1
747,AF392635.1
748,AF392660.1
749,AF392748.1
750,AF392791.1
751,AF393509.1
752,AF394169.1
753,AF394173.1
754,AF401743.1
755,AF408269.1
756,AF408274.1
757,AF408324.1
758,AF408966.1
759,AF410937.1
760,AF410945.1
761,AF410947.1
762,AF411031.1
763,AF411032.1
764,AF411033.1
765,AF411034.1
766,AF411828.1
767,AF417905.1
768,AF419215.1
769,AF422684.1
770,AF423273.1
771,AF423276.2
772,AF428515.1
773,AF428673.1
774,AF428677.1
775,AF428681.1
776,AF428810.1
777,AF428844.1
778,AF429139.1
779,AF429205.1
780,AF429245.1
781,AF429256.1
782,AF431105.1
783,AF431284.1
784,AF431313.1
785,AF431558.1
786,AF432109.1
787,AF434185.1
788,AF443572.1
789,AF445247.1
790,AF445295.1
791,AF445682.1
792,AF448464.1
793,AF458075.1
794,AF460925.1
795,AF467301.1
796,AF468445.1
797,AF476102.1
798,AF476104.1
799,AF476108.1
800,AF477798.1
801,AF479325.1
802,AF479355.1
803,AF479790.1
804,AF481833.1
805,AF484058.1
806,AF486774.1
807,AF488639.1
808,AF488654.2
809,AF489950.1
810,AF494507.1
811,AF498690.1
812,AF498691.1
813,AF498723.1
814,AF499874.1
815,AF505514.1
816,AF507374.1
817,AF507539.1
818,AF507572.1
819,AF507781.1
820,AF508056.1
821,AF508058.1
822,AF508087.1
823,AF511520.1
824,AF511521.1
825,AF513101.1
826,AF513386.1
827,AF513394.1
828,AF515491.1
829,AF517542.1
830,AF521031.2
831,AF523902.1
832,AF523998.1
833,AF525833.1
834,AF526532.1
835,AF526906.1
836,AF526920.2
837,AF526928.2
838,AF526936.1
839,AF527584.1
840,AF527593.1
841,AF528507.1
842,AF530464.1
843,AF530944.1
844,AF530952.1
845,AF530989.1
846,AF531019.1
847,AF532056.1
848,AF532192.1
849,AF533305.1
850,AF534196.1
851,AF537592.1
852,AF537593.1
853,AF537594.1
854,AF537597.1
855,AF537598.1
856,AF537602.1
857,AF537618.2
858,AF538857.1
859,AF538858.1
860,AF541930.2
861,AF543287.1
862,AF544257.1
863,AF544281.1
864,AF544364.1
865,AF544866.1
866,AF544915.1
867,AJ000919.1
868,AJ001051.1
869,AJ001053.1
870,AJ001221.1
871,AJ001239.1
872,AJ001240.1
873,AJ001241.1
874,AJ001242.1
875,AJ001343.1
876,AJ001344.1
877,AJ001345.1
878,AJ002006.1
879,AJ002565.1
880,AJ006008.1
881,AJ006088.1
882,AJ006965.1
883,AJ006999.1
884,AJ007642.1
885,AJ007644.1
886,AJ007805.1
887,AJ007808.1
888,AJ007864.1
889,AJ009455.1
890,AJ009505.1
891,AJ009890.1
892,AJ011156.1
893,AJ011159.1
894,AJ011420.1
895,AJ011505.1
896,AJ012067.1
897,AJ131122.1
898,AJ131583.1
899,AJ131584.1
900,AJ131589.1
901,AJ131593.1
902,AJ131598.1
903,AJ131600.1
904,AJ131601.1
905,AJ131602.1
906,AJ132329.1
907,AJ132943.1
908,AJ133106.1
909,AJ133711.1
910,AJ133712.1
911,AJ222804.1
912,AJ222832.1
913,AJ223452.1
914,AJ223453.1
915,AJ224039.1
916,AJ224040.1
917,AJ224042.1
918,AJ224044.1
919,AJ224617.1
920,AJ224987.1
921,AJ224988.1
922,AJ225343.1
923,AJ227756.1
924,AJ227795.1
925,AJ228759.1
926,AJ228761.1
927,AJ228762.1
928,AJ228763.1
929,AJ228764.1
930,AJ228766.1
931,AJ228768.1
932,AJ228770.1
933,AJ229252.1
934,AJ231171.1
935,AJ231175.1
936,AJ231193.1
937,AJ232690.1
938,AJ232786.1
939,AJ232787.1
940,AJ232797.1
941,AJ232805.1
942,AJ232809.1
943,AJ232818.1
944,AJ233478.1
945,AJ233506.1
946,AJ233542.1
947,AJ233545.1
948,AJ234038.1
949,AJ234045.1
950,AJ236458.1
951,AJ237543.1
952,AJ237756.2
953,AJ238683.1
954,AJ239278.1
955,AJ239279.1
956,AJ239281.1
957,AJ239292.1
958,AJ239297.1
959,AJ242449.2
960,AJ242451.2
961,AJ242452.2
962,AJ242454.2
963,AJ242455.1
964,AJ242457.2
965,AJ242460.2
966,AJ242461.2
967,AJ242462.2
968,AJ242532.1
969,AJ242969.1
970,AJ243012.1
971,AJ243871.1
972,AJ244313.1
973,AJ244354.1
974,AJ244651.1
975,AJ244652.1
976,AJ244653.1
977,AJ244654.1
978,AJ244657.2
979,AJ244658.1
980,AJ244665.2
981,AJ244667.1
982,AJ244669.2
983,AJ244670.1
984,AJ244672.1
985,AJ244674.2
986,AJ244680.2
987,AJ244681.2
988,AJ244689.1
989,AJ244715.1
990,AJ244722.1
991,AJ244723.1
992,AJ244760.1
993,AJ244761.1
994,AJ244775.2
995,AJ247109.1
996,AJ247200.2
997,AJ247202.2
998,AJ247212.2
999,AJ247213.2
1000,AJ247225.2
1001,AJ247237.1
1002,AJ247248.2
1003,AJ247250.2
1004,AJ247258.2
1005,AJ251069.1
1006,AJ251070.1
1007,AJ251071.1
1008,AJ251080.1
1009,AJ251417.1
1010,AJ252580.1
1011,AJ252581.1
1012,AJ252583.1
1013,AJ252590.1
1014,AJ252591.1
1015,AJ252593.1
1016,AJ252598.1
1017,AJ252629.1
1018,AJ252642.1
1019,AJ252656.1
1020,AJ252661.1
1021,AJ252680.1
1022,AJ252686.1
1023,AJ252688.1
1024,AJ252691.1
1025,AJ252705.1
1026,AJ252707.1
1027,AJ252710.1
1028,AJ252719.1
1029,AJ252720.1
1030,AJ252721.1
1031,AJ252723.1
1032,AJ252730.1
1033,AJ269509.1
1034,AJ269510.1
1035,AJ270261.1
1036,AJ270262.1
1037,AJ270263.1
1038,AJ270264.1
1039,AJ270469.2
1040,AJ270479.2
1041,AJ271437.1
1042,AJ272597.1
1043,AJ276558.1
1044,AJ277693.1
1045,AJ277695.1
1046,AJ277697.1
1047,AJ278347.1
1048,AJ278519.1
1049,AJ278521.1
1050,AJ278523.1
1051,AJ278710.1
1052,AJ278784.1
1053,AJ279494.1
1054,AJ287625.1
1055,AJ287638.1
1056,AJ287639.1
1057,AJ287644.1
1058,AJ287657.1
1059,AJ288288.1
1060,AJ289160.1
1061,AJ289161.1
1062,AJ289163.1
1063,AJ289179.1
1064,AJ289184.1
1065,AJ289885.1
1066,AJ289957.1
1067,AJ289962.1
1068,AJ289964.1
1069,AJ289976.1
1070,AJ289982.1
1071,AJ289987.1
1072,AJ289990.1
1073,AJ289993.1
1074,AJ289994.1
1075,AJ289997.1
1076,AJ289998.1
1077,AJ290004.1
1078,AJ290011.1
1079,AJ290013.1
1080,AJ290026.1
1081,AJ290033.1
1082,AJ290043.1
1083,AJ290057.1
1084,AJ290180.2
1085,AJ290397.1
1086,AJ290742.1
1087,AJ291418.1
1088,AJ291421.1
1089,AJ292614.1
1090,AJ292620.1
1091,AJ292675.1
1092,AJ292856.1
1093,AJ293690.2
1094,AJ293825.1
1095,AJ294335.1
1096,AJ294420.1
1097,AJ294422.1
1098,AJ294423.1
1099,AJ294424.1
1100,AJ294425.1
1101,AJ295298.1
1102,AJ295299.1
1103,AJ295300.1
1104,AJ295301.1
1105,AJ295302.1
1106,AJ295303.1
1107,AJ295305.1
1108,AJ295307.1
1109,AJ295310.1
1110,AJ295312.1
1111,AJ295314.1
1112,AJ295316.1
1113,AJ295317.1
1114,AJ295318.1
1115,AJ295457.1
1116,AJ295464.1
1117,AJ295468.1
1118,AJ295491.1
1119,AJ295516.1
1120,AJ295555.1
1121,AJ295690.1
1122,AJ296061.1
1123,AJ296062.1
1124,AJ296064.1
1125,AJ296066.1
1126,AJ296068.1
1127,AJ296073.1
1128,AJ296074.1
1129,AJ296075.1
1130,AJ296080.1
1131,AJ296318.1
1132,AJ296613.1
1133,AJ297353.1
1134,AJ297416.1
1135,AJ297438.1
1136,AJ297440.1
1137,AJ297446.1
1138,AJ297447.1
1139,AJ298578.1
1140,AJ298833.1
1141,AJ298836.1
1142,AJ298928.1
1143,AJ298929.1
1144,AJ299233.1
1145,AJ299581.1
1146,AJ303334.1
1147,AJ306571.1
1148,AJ306871.1
1149,AJ306872.1
1150,AJ306873.1
1151,AJ306875.1
1152,AJ306876.1
1153,AJ306877.1
1154,AJ306878.1
1155,AJ306881.1
1156,AJ306886.1
1157,AJ306887.1
1158,AJ307937.1
1159,AJ307945.1
1160,AJ307976.1
1161,AJ307977.1
1162,AJ307979.1
1163,AJ308280.1
1164,AJ308285.1
1165,AJ308388.1
1166,AJ308598.1
1167,AJ309523.1
1168,AJ309527.1
1169,AJ309919.1
1170,AJ309968.1
1171,AJ309981.1
1172,AJ310375.1
1173,AJ310376.1
1174,AJ310738.1
1175,AJ311410.1
1176,AJ311412.1
1177,AJ311416.1
1178,AJ311435.1
1179,AJ312378.1
1180,AJ314744.1
1181,AJ314747.1
1182,AJ315684.1
1183,AJ315686.1
1184,AJ315961.1
1185,AJ316014.1
1186,AJ316015.1
1187,AJ316579.1
1188,AJ318111.1
1189,AJ318128.1
1190,AJ318140.1
1191,AJ318159.1
1192,AJ318169.1
1193,AJ318182.1
1194,AJ318183.1
1195,AJ318186.1
1196,AJ318200.1
1197,AJ319026.1
1198,AJ319546.1
1199,AJ319842.1
1200,AJ320275.1
1201,AJ320489.2
1202,AJ344201.1
1203,AJ344225.1
1204,AJ344307.1
1205,AJ344511.1
1206,AJ344526.1
1207,AJ344527.1
1208,AJ344532.1
1209,AJ344552.1
1210,AJ344553.1
1211,AJ344554.1
1212,AJ344555.1
1213,AJ344558.1
1214,AJ387860.1
1215,AJ387862.1
1216,AJ387864.1
1217,AJ387867.1
1218,AJ387870.1
1219,AJ387871.1
1220,AJ387895.1
1221,AJ390480.1
1222,AJ391170.1
1223,AJ391177.1
1224,AJ391206.1
1225,AJ400339.1
1226,AJ400352.1
1227,AJ400555.1
1228,AJ400563.1
1229,AJ400576.1
1230,AJ400913.1
1231,AJ400934.1
1232,AJ400940.1
1233,AJ400950.1
1234,AJ401109.1
1235,AJ401112.1
1236,AJ401119.1
1237,AJ401120.1
1238,AJ401130.1
1239,AJ401131.1
1240,AJ401133.1
1241,AJ404492.1
1242,AJ404497.1
1243,AJ404504.1
1244,AJ404512.1
1245,AJ404534.1
1246,AJ404544.1
1247,AJ404547.1
1248,AJ404548.1
1249,AJ404555.1
1250,AJ404561.1
1251,AJ404569.1
1252,AJ404590.1
1253,AJ404600.1
1254,AJ405026.1
1255,AJ405035.1
1256,AJ405036.1
1257,AJ405043.1
1258,AJ405044.1
1259,AJ405053.1
1260,AJ408075.1
1261,AJ408086.1
1262,AJ408160.1
1263,AJ408991.1
1264,AJ410286.1
1265,AJ412674.1
1266,AJ414130.1
1267,AJ414162.1
1268,AJ416160.1
1269,AJ416679.1
1270,AJ417499.1
1271,AJ417500.1
1272,AJ418981.1
1273,AJ419646.1
1274,AJ421208.1
1275,AJ421225.1
1276,AJ421813.1
1277,AJ421901.1
1278,AJ421920.1
1279,AJ421931.2
1280,AJ421941.2
1281,AJ422159.2
1282,AJ422163.2
1283,AJ422164.2
1284,AJ422174.2
1285,AJ427641.1
1286,AJ427644.1
1287,AJ427648.1
1288,AJ430345.1
1289,AJ431295.1
1290,AJ431298.1
1291,AJ431308.1
1292,AJ431312.1
1293,AJ431327.1
1294,AJ431334.1
1295,AJ431337.1
1296,AJ431338.1
1297,AJ437124.1
1298,AJ437407.1
1299,AJ437411.1
1300,AJ437451.1
1301,AJ437470.1
1302,AJ438183.1
1303,AJ438186.1
1304,AJ438276.1
1305,AJ439344.1
1306,AJ439368.1
1307,AJ439413.1
1308,AJ440751.1
1309,AJ440990.1
1310,AJ441003.1
1311,AJ456966.1
1312,AJ456967.1
1313,AJ488022.1
1314,AJ488028.1
1315,AJ489269.1
1316,AJ491777.1
1317,AJ491838.1
1318,AJ495685.1
1319,AJ496039.1
1320,AJ496446.1
1321,AJ504474.1
1322,AJ504482.1
1323,AJ504483.1
1324,AJ504488.1
1325,AJ504491.1
1326,AJ504495.1
1327,AJ504520.1
1328,AJ504533.1
1329,AJ504537.1
1330,AJ504546.1
1331,AJ504560.1
1332,AJ504565.1
1333,AJ504571.1
1334,AJ504600.1
1335,AJ507151.1
1336,AJ507461.1
1337,AJ507462.1
1338,AJ507499.1
1339,AJ507505.1
1340,AJ507512.1
1341,AJ507517.1
1342,AJ508612.1
1343,AJ508709.1
1344,AJ508721.1
1345,AJ509000.1
1346,AJ509008.1
1347,AJ509009.1
1348,AJ509810.1
1349,AJ511269.1
1350,AJ511294.1
1351,AJ512211.1
1352,AJ516055.1
1353,AJ517772.1
1354,AJ517836.1
1355,AJ518130.1
1356,AJ518203.1
1357,AJ518222.1
1358,AJ518273.1
1359,AJ518282.1
1360,AJ518302.1
1361,AJ518329.1
1362,AJ518343.1
1363,AJ518356.1
1364,AJ518424.1
1365,AJ518455.1
1366,AJ518480.1
1367,AJ518481.1
1368,AJ518562.1
1369,AJ518601.1
1370,AJ518660.1
1371,AJ518680.1
1372,AJ518728.1
1373,AJ518738.1
1374,AJ518787.1
1375,AJ518817.1
1376,AJ519393.1
1377,AJ519403.1
1378,AJ519620.1
1379,AJ532714.1
1380,AJ534679.1
1381,AJ534682.1
1382,AJ535735.1
1383,AJ535738.1
1384,AJ535743.1
1385,AJ535745.1
1386,AJ536778.1
1387,AJ537574.1
1388,AJ538044.1
1389,AJ538045.1
1390,AJ538055.1
1391,AJ538357.1
1392,AJ539235.1
1393,AJ542452.1
1394,AJ542468.1
1395,AJ542471.1
1396,AJ542554.1
1397,AJ549079.1
1398,AJ549284.1
1399,AJ549286.1
1400,AJ549287.1
1401,AJ549385.1
1402,AJ549386.1
1403,AJ549507.1
1404,AJ549509.1
1405,AJ549510.1
1406,AJ549512.1
1407,AJ549956.1
1408,AJ550439.1
1409,AJ551155.1
1410,AJ555195.1
1411,AJ555199.1
1412,AJ555201.1
1413,AJ555209.1
1414,AJ555216.1
1415,AJ555223.1
1416,AJ555224.1
1417,AJ556321.1
1418,AJ556358.1
1419,AJ556482.1
1420,AJ557852.1
1421,AJ557858.1
1422,AJ561042.3
1423,AJ561157.1
1424,AJ564903.1
1425,AJ565419.1
1426,AJ567546.1
1427,AJ567569.1
1428,AJ567617.1
1429,AJ575497.1
1430,AJ575498.1
1431,AJ575544.1
1432,AJ575692.1
1433,AJ576091.1
1434,AJ576118.1
1435,AJ576346.1
1436,AJ576357.1
1437,AJ576376.1
1438,AJ576389.1
1439,AJ576411.1
1440,AJ576416.1
1441,AJ576419.1
