genes	logFC	logCPM	F	PValue	FDR	-logP	Gene name	HIV?
ENSG00000157551	2.63876750153493	4.33245359304675	21.0160726227638	3.85121308963005e-05	0.0077150785276707	2.112659649126368	KCNJ15	False
ENSG00000105722	1.26586093325207	4.14129848172339	20.982675375872198	3.89662343114023e-05	0.0077150785276707	2.112659649126368	ERF	False
ENSG00000167173	1.2185518711936498	6.103387004365739	20.9394608453702	3.95621786630976e-05	0.0077150785276707	2.112659649126368	C15orf39	False
ENSG00000254703	-1.5349357280648899	3.80926676487257	20.929468640180602	3.9701331580893607e-05	0.0077150785276707	2.112659649126368	SENCR	False
ENSG00000238201	-2.3589643926123904	3.13776374133178	20.924611260198898	3.9769161615510605e-05	0.0077150785276707	2.112659649126368	AC114752.2	False
ENSG00000143995	-1.3698518618603601	5.24960325976085	20.897500289704897	4.0149988391398706e-05	0.0077150785276707	2.112659649126368	MEIS1	False
ENSG00000070190	-1.19805053310614	6.9895715768777	20.8187435299711	4.1278145014932205e-05	0.0077150785276707	2.112659649126368	DAPP1	False
ENSG00000162511	1.02939134847486	7.88603693469516	20.7757172575775	4.19084843956968e-05	0.0077150785276707	2.112659649126368	LAPTM5	False
ENSG00000197405	2.51784851463815	5.98554256563164	20.7603765413614	4.21356635956943e-05	0.0077150785276707	2.112659649126368	C5AR1	True
ENSG00000172243	1.16630795016396	4.6823607172983	20.745326042786	4.235980130182821e-05	0.0077150785276707	2.112659649126368	CLEC7A	False
ENSG00000093134	2.5039194724264	3.20311898918831	20.630267981177898	4.41151894221198e-05	0.00773213479204777	2.1117005836486196	VNN3	False
ENSG00000102409	-0.9168755559080799	3.7251231380696406	20.611850690451	4.4403187569992404e-05	0.00773213479204777	2.1117005836486196	BEX4	False
ENSG00000073756	3.02269341636518	4.35239090999346	20.5660570792339	4.512786600304411e-05	0.00773213479204777	2.1117005836486196	PTGS2	False
ENSG00000163220	1.6029998488805	8.38176131397571	20.533075228079397	4.5657482973865396e-05	0.00773213479204777	2.1117005836486196	S100A9	False
ENSG00000197081	1.64748543194334	5.5199050110048695	20.4327881272502	4.73083293620295e-05	0.00787357419537363	2.103828075651948	IGF2R	False
ENSG00000184678	-1.5197517262596598	7.434658480759389	20.242236806974603	5.06200228989127e-05	0.00805586919002204	2.0938875944048903	HIST2H2BE	False
ENSG00000119535	2.35196427932244	6.90671819302696	20.239107097935	5.06764041831993e-05	0.00805586919002204	2.0938875944048903	CSF3R	False
ENSG00000100368	2.03099625509833	5.02493882518651	20.226328995037502	5.0907284843193295e-05	0.00805586919002204	2.0938875944048903	CSF2RB	False
ENSG00000214960	-1.4635463606167	4.2788157845755395	19.8818133415918	5.7567109756433705e-05	0.00866653437582794	2.062154536012663	ISPD	False
ENSG00000159216	-1.1582215516716101	6.19668685634493	19.830692483277602	5.86307228111182e-05	0.00866653437582794	2.062154536012663	RUNX1	False
ENSG00000198948	-1.41343027410001	5.9859350194456695	19.8254294168206	5.874139069393729e-05	0.00866653437582794	2.062154536012663	MFAP3L	False
ENSG00000196914	-1.4265190251744597	8.23535939330722	19.8052669784852	5.9167384971588907e-05	0.00866653437582794	2.062154536012663	ARHGEF12	False
ENSG00000128590	2.00061681551254	3.0672655397939104	19.6945575478372	6.15649777858723e-05	0.00866653437582794	2.062154536012663	DNAJB9	False
ENSG00000125952	-1.24376324422434	8.46162737739601	19.6627611528927	6.22722753361813e-05	0.00866653437582794	2.062154536012663	MAX	False
ENSG00000171051	2.00983147882479	4.9350092920830795	19.6461869107728	6.264433999006401e-05	0.00866653437582794	2.062154536012663	FPR1	False
ENSG00000144802	1.66011190899647	6.46804372978714	19.583982168524603	6.40616836142098e-05	0.00866653437582794	2.062154536012663	NFKBIZ	False
ENSG00000197329	1.88906581562372	5.998272600933451	19.5761518695598	6.42424693233934e-05	0.00866653437582794	2.062154536012663	PELI1	False
ENSG00000162551	2.5038849198866604	4.07586984666695	19.5648061576515	6.45053696816791e-05	0.00866653437582794	2.062154536012663	ALPL	False
ENSG00000145715	-1.16785992431796	5.39036525748945	19.5393386437743	6.50996192501011e-05	0.00866653437582794	2.062154536012663	RASA1	False
ENSG00000172216	1.6755749498840502	7.14696256232767	19.5206250639989	6.55399367487247e-05	0.00866653437582794	2.062154536012663	CEBPB	False
ENSG00000167470	1.2183662980396999	6.71552360888011	19.4444208532312	6.73655181819078e-05	0.00872799403397837	2.0590855592816713	MIDN	False
ENSG00000137331	2.27578146253545	4.75712986291298	19.426069865668303	6.781306874012e-05	0.00872799403397837	2.0590855592816713	IER3	False
ENSG00000120129	2.57645266805225	7.702447391291571	19.3292588608608	7.02263667328808e-05	0.00891967260621708	2.049651085973959	DUSP1	False
ENSG00000166831	-1.78224226434624	4.51252120666845	19.2766210665175	7.15762055257523e-05	0.00896496016442523	2.0474516358741064	RBPMS2	False
ENSG00000112303	2.17300839242032	4.5907089683853295	19.2434668256715	7.2440370125885e-05	0.00896496016442523	2.0474516358741064	VNN2	False
ENSG00000126262	2.42683643797138	4.6265073243070995	19.1141541059555	7.59170143285179e-05	0.00913054287920465	2.0395033996361667	FFAR2	False
ENSG00000138795	-1.08722100876011	4.34859183265927	19.1077555216499	7.60935292056386e-05	0.00913054287920465	2.0395033996361667	LEF1	False
ENSG00000041353	-1.4438818544293601	6.521594216717481	19.0266602105853	7.83683911029596e-05	0.00913054287920465	2.0395033996361667	RAB27B	False
ENSG00000176788	1.53668506717664	6.854652596286429	18.996808170346302	7.92236777120114e-05	0.00913054287920465	2.0395033996361667	BASP1	False
ENSG00000125505	2.13952269313491	4.28704111608432	18.9624358203527	8.02206295954246e-05	0.00913054287920465	2.0395033996361667	MBOAT7	False
ENSG00000203747	1.3948071335861298	6.61103522254074	18.9226206953673	8.13919371574547e-05	0.00913054287920465	2.0395033996361667	FCGR3A	False
ENSG00000182541	1.78875586133965	4.80458358301519	18.873741214916198	8.28545115496473e-05	0.00913054287920465	2.0395033996361667	LIMK2	False
ENSG00000167851	1.32761160874229	4.16461448339271	18.8543240119394	8.344315023402729e-05	0.00913054287920465	2.0395033996361667	CD300A	False
ENSG00000255240	-1.8342643724863201	2.83949071335145	18.8435286461152	8.377231320608041e-05	0.00913054287920465	2.0395033996361667	AP001636.3	False
ENSG00000184557	2.2129484934503303	4.939732689076759	18.8363178684907	8.3992937381591e-05	0.00913054287920465	2.0395033996361667	SOCS3	False
ENSG00000165030	1.7837359263806998	5.14086979804954	18.8301224972171	8.41829810679802e-05	0.00913054287920465	2.0395033996361667	NFIL3	False
ENSG00000103569	1.6601348032321799	5.12570970365206	18.6921104544519	8.85356982443203e-05	0.0094959455016936	2.022461786511517	AQP9	False
ENSG00000118503	1.7676446454822001	6.06719408224895	18.445669584998697	9.69062899532287e-05	0.0102338383608146	1.989961446808953	TNFAIP3	False
ENSG00000254999	-0.9051156965897199	5.7645341168454305	18.4280486103602	9.75358053656833e-05	0.0102338383608146	1.989961446808953	BRK1	False
ENSG00000135842	1.21034766667469	5.988452260380289	18.369956734752897	9.96417556825693e-05	0.0102621266139071	1.9887626313311928	FAM129A	False
ENSG00000105835	1.50021823152983	7.72060098356065	18.3620621101656	9.99316172907147e-05	0.0102621266139071	1.9887626313311928	NAMPT	False
ENSG00000164253	-1.12131572489493	4.09019902587614	18.192285728637398	0.000106384310444056	0.0108097657759629	1.9661837161585196	WDR41	False
ENSG00000124635	-1.60979005804999	5.28615534823207	18.104086511248802	0.000109907865533104	0.0110514648540735	1.9565801531212363	HIST1H2BJ	False
ENSG00000204160	1.52368060239883	4.77739272853702	18.054501201491398	0.00011194243513854899	0.0111400033648702	1.9531146779823672	ZDHHC18	False
ENSG00000185728	0.63945268654563	4.927589187083191	17.999431239294697	0.000114248497194032	0.0112534769736121	1.9487132733612178	YTHDF3	False
ENSG00000196459	-1.3268535158016102	4.22124635718046	17.9445719327614	0.000116595406175757	0.0112559107152785	1.9486193604929674	TRAPPC2	False
ENSG00000134321	2.0909816327988797	6.22966479030631	17.9443428614639	0.00011660531146046298	0.0112559107152785	1.9486193604929674	RSAD2	False
ENSG00000161813	-1.04406309387581	5.18230620050983	17.8952294130493	0.00011874957828452	0.0113494027641631	1.9450269916032616	LARP4	False
ENSG00000090339	2.21762650094119	4.29417741972111	17.8464601208474	0.00012091984460356101	0.0113570675831967	1.9447337898253902	ICAM1	False
ENSG00000100351	-1.25615289951848	8.44483945086057	17.8212518365678	0.00012205792798051201	0.0113570675831967	1.9447337898253902	GRAP2	False
ENSG00000117155	-1.16726290968476	5.3682529293803	17.8146162517317	0.000122359373112241	0.0113570675831967	1.9447337898253902	SSX2IP	False
ENSG00000162819	-0.842907841381845	6.26527804771899	17.6926369351362	0.00012804229621036898	0.0115427993202167	1.937688854794324	BROX	False
ENSG00000069399	1.6616004802547601	5.566554026976321	17.6845994663485	0.000128426364126777	0.0115427993202167	1.937688854794324	BCL3	False
ENSG00000087074	1.86540054357035	7.5840817707387105	17.681447781458303	0.000128577296580117	0.0115427993202167	1.937688854794324	PPP1R15A	False
ENSG00000162645	0.710457126445203	7.01090993040597	17.6475689728801	0.000130211553180783	0.0115427993202167	1.937688854794324	GBP2	False
ENSG00000070495	1.5409959824091102	3.98463483667006	17.6285560707271	0.000131138250588247	0.0115427993202167	1.937688854794324	JMJD6	False
ENSG00000119862	-1.1614432667431598	5.0635663390413495	17.6066622297624	0.00013221395639426899	0.0115427993202167	1.937688854794324	LGALSL	False
ENSG00000170892	1.46702276976871	3.5651972705276096	17.5962087301419	0.000132730832336481	0.0115427993202167	1.937688854794324	TSEN34	False
ENSG00000178996	0.7565364753386271	5.51686522271744	17.498124625834	0.000137685317696175	0.0118667533189391	1.925668085471532	SNX18	False
ENSG00000125971	-1.3717268696576799	7.0342807190986	17.4335057938891	0.000141055269988807	0.0120333758035384	1.9196125200264846	DYNLRB1	False
ENSG00000254415	2.09575112309942	2.65671306476298	17.3772819894511	0.000144057925657255	0.0120333758035384	1.9196125200264846	SIGLEC14	False
ENSG00000231925	1.15679131862146	5.8078962103866605	17.3752682725474	0.00014416670689728302	0.0120333758035384	1.9196125200264846	TAPBP	False
ENSG00000204842	-1.15090692093851	5.958987213276581	17.367171803150303	0.000144604951125086	0.0120333758035384	1.9196125200264846	ATXN2	False
ENSG00000171223	1.73227438065701	7.40289128643092	17.289355491618	0.000148889061686445	0.0121801324299985	1.9143479897569264	JUNB	False
ENSG00000221869	1.4753584190070599	5.33366044849213	17.240434326949902	0.000151650482520168	0.0121801324299985	1.9143479897569264	CEBPD	False
ENSG00000259719	-1.81400542499184	3.83079897486247	17.2342511525176	0.000152003312008624	0.0121801324299985	1.9143479897569264	LINC02284	False
ENSG00000166889	0.8299093189173891	4.70599697321979	17.2304708166256	0.000152219453537238	0.0121801324299985	1.9143479897569264	PATL1	False
ENSG00000026103	1.58479961584582	3.1594904168023903	17.2054110514746	0.000153660442299541	0.0121801324299985	1.9143479897569264	FAS	False
ENSG00000113916	1.14647803259411	6.015401270914191	17.200589886837097	0.000153939309692305	0.0121801324299985	1.9143479897569264	BCL6	False
ENSG00000163735	-1.7964384942214298	7.74619065394689	17.117511159506098	0.00015882924100406299	0.0122441090868632	1.9120728097826667	CXCL5	False
ENSG00000116675	-1.47363432081218	3.39740839466204	17.114852375093	0.000158988404285076	0.0122441090868632	1.9120728097826667	DNAJC6	False
ENSG00000275713	-1.5384213689103898	4.85523734885765	17.1051156415859	0.000159572708406076	0.0122441090868632	1.9120728097826667	HIST1H2BH	False
ENSG00000135378	1.7929650167171698	3.0396149144996296	17.076059662749	0.000161329819683412	0.0122441090868632	1.9120728097826667	PRRG4	False
ENSG00000254893	-1.60156772776836	4.375632836343749	17.062835875488698	0.000162136227592188	0.0122441090868632	1.9120728097826667	AC113404.3	False
ENSG00000278828	-1.54157336378905	6.55589469902832	17.059204194879698	0.00016235843397063	0.0122441090868632	1.9120728097826667	HIST1H3H	False
ENSG00000177663	1.3556186881711	4.607785058544089	16.9528694998047	0.000169008504709649	0.0126468146973818	1.8980188447289732	IL17RA	False
ENSG00000074201	-0.938325329427792	6.292708913511441	16.9274750378664	0.00017063860546421699	0.0126705727580468	1.8972037529115877	CLNS1A	False
ENSG00000138433	0.87322959998471	5.81467473234733	16.8404534437238	0.00017635110359335	0.012994787809058	1.8862308076679781	CIR1	False
ENSG00000131759	1.00308146514009	5.659445681192651	16.730963338759	0.000183825471296421	0.0129975210770583	1.886139469632587	RARA	False
ENSG00000067182	1.30546998117664	3.77490509773835	16.6998700218139	0.00018600823263358502	0.0129975210770583	1.886139469632587	TNFRSF1A	False
ENSG00000162852	-1.18641533192943	6.08652501210704	16.6780056180057	0.00018755942365271798	0.0129975210770583	1.886139469632587	CNST	False
ENSG00000015475	0.802815441511037	4.69265394465157	16.6588172113816	0.000188931966760601	0.0129975210770583	1.886139469632587	BID	False
ENSG00000163823	1.52347286649752	4.55795404615104	16.6539486904913	0.00018928188757316	0.0129975210770583	1.886139469632587	CCR1	True
ENSG00000205531	-0.507924264013923	5.86573737259245	16.636766612522	0.000190522289282024	0.0129975210770583	1.886139469632587	NAP1L4	False
ENSG00000116741	1.6238666094279701	6.85072209181424	16.6223155413187	0.000191572149977248	0.0129975210770583	1.886139469632587	RGS2	False
ENSG00000142634	0.732967210754188	7.78767737185839	16.6205764453547	0.000191698903468071	0.0129975210770583	1.886139469632587	EFHD2	False
ENSG00000069966	-0.904781035733228	4.50631992226938	16.5733710120312	0.00019517334568158	0.0129975210770583	1.886139469632587	GNB5	False
ENSG00000143384	0.9160345585949609	8.00271145061222	16.5484375346943	0.00019703517060892	0.0129975210770583	1.886139469632587	MCL1	False
ENSG00000166974	-0.983496530459067	6.7980241019242795	16.5371889155477	0.00019788122652541202	0.0129975210770583	1.886139469632587	MAPRE2	False
ENSG00000116711	-1.4940482400356698	3.6944200482440603	16.5255228018786	0.000198762719170421	0.0129975210770583	1.886139469632587	PLA2G4A	False
ENSG00000143156	-1.6267299313005399	2.43708051181587	16.5211461117449	0.000199094486216182	0.0129975210770583	1.886139469632587	NME7	False
ENSG00000103313	1.1394555381276399	5.01897166069241	16.483528233878	0.00020197015927836398	0.0129975210770583	1.886139469632587	MEFV	False
ENSG00000249119	-1.7282563806417	3.0098919875378503	16.473331245879802	0.000202757159532517	0.0129975210770583	1.886139469632587	MTND6P4	False
ENSG00000173334	1.8132928087155802	4.39485537625745	16.4586323046533	0.000203897296589801	0.0129975210770583	1.886139469632587	TRIB1	False
ENSG00000198053	1.90115325504659	4.6214986917845	16.4554055525651	0.000204148483563656	0.0129975210770583	1.886139469632587	SIRPA	False
ENSG00000169429	3.39592773330333	7.0040345143063405	16.4428060259265	0.000205132414754552	0.0129975210770583	1.886139469632587	CXCL8	False
ENSG00000162747	2.2148823342666497	7.20011769657856	16.4375275255159	0.00020554610775087	0.0129975210770583	1.886139469632587	FCGR3B	True
ENSG00000151693	-1.29811243488961	5.40079985689054	16.4273775350436	0.000206344061662125	0.0129975210770583	1.886139469632587	ASAP2	False
ENSG00000261441	-1.4417163319176998	5.435554863071769	16.415582056938902	0.000207275470535995	0.0129975210770583	1.886139469632587	AC124068.2	False
ENSG00000121316	1.66916836020633	3.7986542747480603	16.4075027383991	0.00020791598917458998	0.0129975210770583	1.886139469632587	PLBD1	False
ENSG00000185650	0.9463573833766009	7.33236502119104	16.374719840215302	0.000210536406367856	0.0129975210770583	1.886139469632587	ZFP36L1	False
ENSG00000166669	-0.942407010131636	3.8942565273748397	16.3554326888207	0.000212094276948145	0.0129975210770583	1.886139469632587	ATF7IP2	False
ENSG00000234745	1.40041397252425	9.22053241217369	16.3412392809954	0.000213248451215996	0.0129975210770583	1.886139469632587	HLA-B	True
ENSG00000163421	1.8307745986262598	3.70393280529162	16.3196658798778	0.000215015411117154	0.0129975210770583	1.886139469632587	PROK2	False
ENSG00000221823	-0.7254745313650299	6.604336333525361	16.3139904414425	0.00021548280801804198	0.0129975210770583	1.886139469632587	PPP3R1	False
ENSG00000082781	-1.08071645983688	3.9363759708853903	16.3031984277245	0.00021637452614354198	0.0129975210770583	1.886139469632587	ITGB5	False
ENSG00000163131	1.1191268169431299	7.55980816280817	16.2987698794227	0.000216741568280821	0.0129975210770583	1.886139469632587	CTSS	False
ENSG00000198586	-1.08560764716903	7.80004352140566	16.291504509586	0.00021734514730105	0.0129975210770583	1.886139469632587	TLK1	False
ENSG00000155966	1.19655521668323	3.54803860530887	16.2821017761082	0.00021812891479161298	0.0129975210770583	1.886139469632587	AFF2	False
ENSG00000168394	1.37001961557295	4.434740541902349	16.2603814606546	0.000219950799461506	0.0130256752589075	1.8851997533554374	TAP1	False
ENSG00000146592	1.49458517254495	4.69214623994232	16.2166903743468	0.0002236642051713	0.0131648205641376	1.8805850559301858	CREB5	False
ENSG00000058668	0.797703832698952	4.19717622307731	16.1956663953355	0.00022547451598955602	0.0131909424414981	1.8797241746946924	ATP2B4	False
ENSG00000086730	1.0761057337125	3.94096801535937	16.158457863771698	0.00022871629017782002	0.0132999900547379	1.876148683782844	LAT2	False
ENSG00000128383	1.1255056417531002	5.53266517832655	16.129592246223098	0.000231264931686223	0.0133676669794438	1.8739443822941557	APOBEC3A	False
ENSG00000108953	-0.9816192471575741	7.97276466594792	16.0994759864203	0.00023395584925246899	0.0134427131716314	1.871513067848488	YWHAE	False
ENSG00000079385	2.4105545076384702	2.3143170629972203	16.082335717723502	0.00023550203095138198	0.0134514858270632	1.8712297416203314	CEACAM1	False
ENSG00000008516	2.5052244284447402	4.06605389788327	16.0445463906142	0.00023894899401598598	0.0135186459836337	1.8690668047911432	MMP25	False
ENSG00000229644	1.9183659838238898	2.5922920085784997	16.0375533212753	0.000239592664302454	0.0135186459836337	1.8690668047911432	NAMPTP1	False
ENSG00000152601	-0.980337351159784	9.21351935656176	16.0122445422106	0.00024193746681686802	0.0135186459836337	1.8690668047911432	MBNL1	False
ENSG00000103194	-0.643955177544114	4.9709718728413606	15.988316025026	0.000244176588936937	0.0135186459836337	1.8690668047911432	USP10	False
ENSG00000171049	2.41668319682722	2.8367989732449503	15.978892819084999	0.00024506434052116	0.0135186459836337	1.8690668047911432	FPR2	False
ENSG00000177425	-1.02432344096515	3.07208455947828	15.929204209879199	0.000249801921099156	0.0135186459836337	1.8690668047911432	PAWR	False
ENSG00000163464	1.8829143672353401	3.7462025366712797	15.917522324354902	0.000250929655946814	0.0135186459836337	1.8690668047911432	CXCR1	True
ENSG00000159388	0.9298948201794641	6.5312034393472	15.899400333474901	0.000252689705892086	0.0135186459836337	1.8690668047911432	BTG2	False
ENSG00000074966	-0.974071203261871	3.2801970592550997	15.8949306066397	0.000253125808803899	0.0135186459836337	1.8690668047911432	TXK	False
ENSG00000132475	0.978136936886417	7.95742561628574	15.8911857326986	0.000253491798489916	0.0135186459836337	1.8690668047911432	H3F3B	False
ENSG00000110880	-1.05369177776635	7.3394075256006595	15.875639706133402	0.000255017084951385	0.0135186459836337	1.8690668047911432	CORO1C	False
ENSG00000207142	-1.4286595620098999	4.46005190668605	15.8700506253596	0.000255567809281275	0.0135186459836337	1.8690668047911432	RF00019	False
ENSG00000062282	2.41576496741338	2.5565538921318303	15.849606742385099	0.000257592940538282	0.0135186459836337	1.8690668047911432	DGAT2	False
ENSG00000149131	1.5309243255337301	4.8981133252076905	15.843206298867303	0.000258230419035216	0.0135186459836337	1.8690668047911432	SERPING1	False
ENSG00000131966	-0.874946347935451	4.97184672442441	15.816800952725599	0.000260877960440472	0.0135186459836337	1.8690668047911432	ACTR10	False
ENSG00000147394	-1.05663473907969	5.566737206114251	15.7962201668362	0.000262961288755006	0.0135186459836337	1.8690668047911432	ZNF185	False
ENSG00000110876	1.16248741904153	4.4564176710669905	15.7826963062554	0.000264339786613092	0.0135186459836337	1.8690668047911432	SELPLG	False
ENSG00000142166	0.858230959724524	3.8677953077857	15.779946355594499	0.000264621019831065	0.0135186459836337	1.8690668047911432	IFNAR1	False
ENSG00000201955	-1.3790288103027901	4.835982879571669	15.778441796052402	0.00026477502197178103	0.0135186459836337	1.8690668047911432	RNY3P1	False
ENSG00000172183	0.9668176925240931	5.806048403153241	15.746915320878001	0.000268023748627394	0.0135186459836337	1.8690668047911432	ISG20	False
ENSG00000239998	1.40200325046323	3.63656695165412	15.7445718691118	0.000268266903535161	0.0135186459836337	1.8690668047911432	LILRA2	False
ENSG00000117586	-1.31710169846704	4.1916371992847905	15.7400827147005	0.000268733343110197	0.0135186459836337	1.8690668047911432	TNFSF4	False
ENSG00000234456	-1.5907471225956398	3.67018001738894	15.7385919129015	0.000268888431457336	0.0135186459836337	1.8690668047911432	MAGI2-AS3	False
ENSG00000111554	-0.980646433216476	4.34540548524628	15.712040120869501	0.000271666442466908	0.0135836958419774	1.8669820514544893	MDM1	False
ENSG00000072042	-1.3125472585327198	4.91812841633897	15.6908497173279	0.00027390516395781403	0.0135836958419774	1.8669820514544893	RDH11	False
ENSG00000163960	-1.1365357016056299	8.423558184634581	15.686153942730598	0.00027440388368233596	0.0135836958419774	1.8669820514544893	UBXN7	False
ENSG00000141232	1.4449510489973199	4.53541652712872	15.6664353914432	0.000276508561569475	0.0136180466572966	1.8658851822026352	TOB1	False
ENSG00000197415	-1.62840665924216	4.4218985811157	15.644957250277299	0.000278820380743332	0.0136280156071484	1.8655673777388426	VEPH1	False
ENSG00000167552	0.902246283098146	5.688385785722691	15.630253020155198	0.000280414799714993	0.0136280156071484	1.8655673777388426	TUBA1A	False
ENSG00000116514	1.13573542536224	4.88743768469367	15.6253704433859	0.000280946348888691	0.0136280156071484	1.8655673777388426	RNF19B	False
ENSG00000151247	-0.883526848962691	4.27443905629281	15.6005989278174	0.00028365951233379704	0.0136586563318537	1.8645920222038062	EIF4E	False
