index,SAMPLE_100008_1,SAMPLE_100008_2,SAMPLE_100008_3,SAMPLE_100137_1,SAMPLE_100137_2,SAMPLE_100137_3,SAMPLE_100177_1,SAMPLE_100177_2,SAMPLE_100177_3,SAMPLE_100200_1,SAMPLE_100200_2,SAMPLE_100200_3,SAMPLE_100206_1,SAMPLE_100206_2,SAMPLE_100206_3,SAMPLE_100217_1,SAMPLE_100217_2,SAMPLE_100217_3,SAMPLE_100248_1,SAMPLE_100248_2,SAMPLE_100248_3,SAMPLE_100255_1,SAMPLE_100255_2,SAMPLE_100255_3,SAMPLE_100256_1,SAMPLE_100256_2,SAMPLE_100256_3,SAMPLE_100257_1,SAMPLE_100257_2,SAMPLE_100257_3,SAMPLE_100261_1,SAMPLE_100261_2,SAMPLE_100261_3,SAMPLE_100267_1,SAMPLE_100267_2,SAMPLE_100267_3,SAMPLE_100306_1,SAMPLE_100306_2,SAMPLE_100306_3,SAMPLE_100337_1,SAMPLE_100337_2,SAMPLE_100337_3
39,10.0,5.0,7.0,58.0,209,1309,1622.0,156.0,656.0,202.0,117,4199,3630,3.0,1418,376,10.0,398.0,24.0,203.0,29.0,694.0,0.0,125.0,2042.0,0.0,234.0,81.0,483.0,771,3424.0,374,183,2.0,198.0,9.0,402,53.0,132.0,366.0,851.0,1128.0
40,10.0,4.0,6.0,57.0,212,1311,1646.0,160.0,649.0,205.0,123,4207,3609,3.0,1414,375,10.0,403.0,23.0,197.0,30.0,700.0,0.0,123.0,2046.0,0.0,232.0,81.0,486.0,785,3446.0,379,186,2.0,200.0,9.0,402,51.0,129.0,361.0,842.0,1126.0
41,10.0,5.0,8.0,69.0,267,1505,2089.0,182.0,813.0,211.0,150,4960,4350,4.0,1716,435,16.0,564.0,28.0,264.0,30.0,820.0,1.0,180.0,2583.0,0.0,321.0,98.0,574.0,852,4025.0,405,226,4.0,283.0,11.0,447,54.0,168.0,405.0,960.0,1427.0
42,18.0,6.0,11.0,71.0,274,1591,2176.0,191.0,873.0,211.0,165,5200,4580,6.0,1795,474,19.0,600.0,29.0,295.0,31.0,845.0,2.0,176.0,2732.0,0.0,336.0,103.0,612.0,873,4063.0,415,239,4.0,296.0,13.0,461,54.0,169.0,423.0,1056.0,1540.0
43,18.0,6.0,10.0,71.0,284,1597,2197.0,193.0,875.0,212.0,167,5242,4648,6.0,1817,476,20.0,610.0,29.0,298.0,31.0,852.0,1.0,188.0,2755.0,0.0,353.0,112.0,612.0,883,4123.0,417,243,4.0,300.0,13.0,463,51.0,172.0,423.0,1096.0,1574.0
44,155.0,56.0,715.0,75.0,316,1728,2386.0,198.0,935.0,211.0,177,5624,5214,6.0,1966,540,21.0,676.0,31.0,320.0,31.0,885.0,3.0,205.0,3016.0,0.0,422.0,150.0,646.0,1039,4425.0,441,282,4.0,334.0,13.0,493,55.0,255.0,471.0,1253.0,1868.0
45,163.0,62.0,751.0,74.0,317,1787,2394.0,198.0,932.0,211.0,203,5671,5372,7.0,1979,535,22.0,674.0,32.0,330.0,30.0,892.0,3.0,204.0,3080.0,0.0,419.0,150.0,641.0,1049,4522.0,487,284,3.0,331.0,13.0,522,78.0,259.0,465.0,1254.0,2012.0
46,164.0,69.0,759.0,74.0,321,1822,2418.0,199.0,941.0,210.0,212,5735,5464,7.0,2015,535,24.0,680.0,32.0,336.0,41.0,889.0,3.0,202.0,3093.0,0.0,419.0,151.0,644.0,1070,4658.0,543,287,4.0,339.0,13.0,544,86.0,261.0,481.0,1250.0,2037.0
47,168.0,68.0,781.0,76.0,325,1905,2513.0,204.0,948.0,212.0,213,6006,5623,7.0,2055,545,24.0,755.0,32.0,336.0,53.0,900.0,3.0,202.0,3208.0,0.0,440.0,152.0,649.0,1081,4792.0,563,300,5.0,365.0,13.0,582,85.0,259.0,497.0,1266.0,2084.0
48,171.0,69.0,757.0,75.0,334,1918,2519.0,210.0,951.0,218.0,211,6097,5646,7.0,2057,544,29.0,755.0,31.0,327.0,56.0,895.0,3.0,199.0,3216.0,0.0,430.0,149.0,653.0,1083,4808.0,572,310,5.0,366.0,13.0,592,87.0,268.0,496.0,1306.0,2015.0
49,175.0,67.0,792.0,78.0,350,1976,2583.0,215.0,988.0,218.0,224,6418,5897,7.0,2120,552,33.0,795.0,31.0,339.0,58.0,905.0,3.0,207.0,3372.0,0.0,477.0,159.0,672.0,1109,4954.0,577,321,5.0,400.0,13.0,619,87.0,285.0,513.0,1407.0,2055.0
50,175.0,65.0,794.0,79.0,355,2005,2611.0,218.0,1043.0,225.0,231,6503,6014,7.0,2149,572,35.0,817.0,32.0,335.0,56.0,928.0,3.0,209.0,3449.0,1.0,479.0,156.0,684.0,1106,5016.0,578,329,4.0,418.0,13.0,634,88.0,306.0,514.0,1466.0,2071.0
51,185.0,69.0,836.0,82.0,374,2070,2669.0,225.0,1050.0,232.0,241,6776,6182,7.0,2234,595,32.0,847.0,32.0,353.0,55.0,983.0,3.0,216.0,3599.0,1.0,484.0,158.0,712.0,1103,5160.0,586,333,5.0,438.0,13.0,676,87.0,321.0,541.0,1481.0,2080.0
52,188.0,71.0,848.0,88.0,388,2105,2733.0,238.0,1039.0,227.0,243,6972,6241,7.0,2271,624,37.0,853.0,30.0,349.0,55.0,1005.0,3.0,226.0,3677.0,1.0,482.0,155.0,707.0,1084,5293.0,612,341,4.0,456.0,13.0,685,83.0,319.0,549.0,1491.0,2056.0
53,195.0,71.0,857.0,87.0,408,2147,2763.0,248.0,1079.0,232.0,247,7166,6407,5.0,2350,637,37.0,860.0,32.0,357.0,57.0,1051.0,3.0,226.0,3816.0,1.0,486.0,157.0,714.0,1108,5416.0,618,339,5.0,471.0,13.0,703,88.0,316.0,564.0,1505.0,2087.0
54,198.0,79.0,1005.0,88.0,415,2246,2825.0,274.0,1085.0,234.0,256,7422,6692,7.0,2420,642,38.0,881.0,32.0,364.0,58.0,1081.0,4.0,225.0,3994.0,1.0,488.0,159.0,718.0,1113,5542.0,620,359,4.0,507.0,19.0,722,87.0,326.0,567.0,1526.0,2133.0
55,197.0,78.0,1029.0,89.0,426,2298,2865.0,275.0,1118.0,241.0,259,7469,6825,7.0,2438,657,34.0,944.0,36.0,361.0,57.0,1076.0,4.0,230.0,4077.0,1.0,485.0,158.0,735.0,1105,5647.0,616,365,4.0,510.0,19.0,717,88.0,329.0,608.0,1604.0,2163.0
56,204.0,80.0,1143.0,104.0,460,2379,3059.0,295.0,1203.0,273.0,264,7814,7214,7.0,2536,683,35.0,1014.0,41.0,363.0,58.0,1082.0,4.0,262.0,4403.0,1.0,508.0,158.0,791.0,1152,5962.0,648,389,5.0,518.0,20.0,757,90.0,331.0,717.0,1662.0,2377.0
57,197.0,81.0,1165.0,108.0,471,2400,3119.0,295.0,1209.0,277.0,273,7811,7271,7.0,2565,686,37.0,1023.0,41.0,358.0,56.0,1072.0,4.0,259.0,4504.0,1.0,550.0,158.0,789.0,1143,6035.0,679,408,5.0,542.0,20.0,759,92.0,377.0,735.0,1729.0,2415.0
58,204.0,84.0,1229.0,115.0,481,2448,3235.0,305.0,1261.0,286.0,280,7956,7483,7.0,2621,715,39.0,1047.0,43.0,388.0,58.0,1090.0,4.0,269.0,4640.0,1.0,577.0,159.0,804.0,1165,6229.0,694,422,5.0,564.0,20.0,775,94.0,402.0,751.0,1791.0,2511.0
59,206.0,84.0,1269.0,117.0,492,2464,3247.0,302.0,1251.0,286.0,276,7869,7501,7.0,2604,717,40.0,1044.0,46.0,381.0,57.0,1077.0,4.0,267.0,4639.0,1.0,563.0,159.0,797.0,1144,6225.0,689,442,5.0,556.0,19.0,793,93.0,398.0,799.0,1832.0,2485.0
60,222.0,91.0,1334.0,126.0,502,2579,3356.0,312.0,1265.0,296.0,281,7977,7795,7.0,2679,737,40.0,1064.0,54.0,385.0,57.0,1115.0,4.0,282.0,4705.0,1.0,589.0,159.0,809.0,1168,6465.0,704,459,5.0,566.0,20.0,823,133.0,404.0,888.0,1877.0,2560.0
61,225.0,89.0,1354.0,128.0,503,2608,3362.0,313.0,1285.0,299.0,282,7928,7863,7.0,2683,734,37.0,1119.0,54.0,387.0,58.0,1132.0,4.0,281.0,4691.0,1.0,586.0,158.0,811.0,1158,6535.0,700,459,5.0,561.0,19.0,824,142.0,414.0,897.0,1878.0,2610.0
62,227.0,91.0,1391.0,128.0,525,2676,3372.0,312.0,1315.0,300.0,296,7949,7926,7.0,2758,753,37.0,1184.0,60.0,408.0,57.0,1160.0,4.0,281.0,4734.0,1.0,589.0,160.0,807.0,1170,6584.0,702,455,5.0,566.0,19.0,831,143.0,416.0,911.0,1921.0,2627.0
63,229.0,92.0,1450.0,127.0,538,2727,3376.0,316.0,1333.0,297.0,299,7923,7922,7.0,2777,759,39.0,1182.0,61.0,410.0,58.0,1171.0,4.0,279.0,4766.0,1.0,585.0,159.0,809.0,1165,6559.0,698,457,5.0,558.0,20.0,834,144.0,431.0,917.0,1946.0,2839.0
64,231.0,95.0,1498.0,128.0,543,2729,3429.0,325.0,1358.0,299.0,311,7949,7935,7.0,2821,765,38.0,1218.0,62.0,413.0,58.0,1171.0,4.0,280.0,4766.0,1.0,587.0,158.0,810.0,1165,6615.0,705,460,5.0,568.0,20.0,838,162.0,435.0,942.0,1947.0,2860.0
65,238.0,101.0,1563.0,127.0,548,2732,3511.0,337.0,1408.0,299.0,328,7928,7933,7.0,2891,802,39.0,1274.0,74.0,446.0,58.0,1180.0,4.0,281.0,4773.0,1.0,590.0,159.0,804.0,1172,6671.0,710,454,5.0,573.0,19.0,837,167.0,451.0,991.0,1962.0,2953.0
66,243.0,107.0,1639.0,128.0,560,2746,3602.0,339.0,1484.0,300.0,343,7955,7968,9.0,2963,862,42.0,1299.0,82.0,462.0,58.0,1190.0,5.0,283.0,4806.0,1.0,591.0,161.0,817.0,1185,6703.0,707,462,5.0,573.0,20.0,852,166.0,459.0,1023.0,1983.0,3102.0
67,243.0,107.0,1652.0,128.0,562,2754,3616.0,339.0,1494.0,301.0,349,7970,7971,9.0,2979,874,45.0,1308.0,82.0,462.0,58.0,1189.0,5.0,284.0,4805.0,1.0,592.0,161.0,818.0,1185,6709.0,708,463,5.0,578.0,20.0,857,167.0,461.0,1023.0,1982.0,3099.0
68,240.0,104.0,1626.0,128.0,557,2720,3580.0,337.0,1474.0,299.0,349,7890,7898,9.0,2935,857,45.0,1289.0,82.0,460.0,56.0,1174.0,5.0,281.0,4749.0,1.0,581.0,160.0,805.0,1159,6637.0,703,457,5.0,569.0,20.0,852,165.0,455.0,1012.0,1960.0,3073.0
69,243.0,104.0,1656.0,128.0,560,2753,3613.0,339.0,1496.0,301.0,353,7962,7978,9.0,2968,873,46.0,1306.0,81.0,464.0,58.0,1191.0,5.0,281.0,4779.0,1.0,593.0,161.0,817.0,1172,6706.0,709,464,5.0,577.0,19.0,859,166.0,460.0,1019.0,1975.0,3095.0
70,8.0,2.0,24.0,13.0,34,113,62.0,16.0,42.0,66.0,335,5837,553,1.0,146,769,33.0,1156.0,4.0,14.0,1.0,187.0,1.0,0.0,434.0,0.0,40.0,14.0,48.0,31,5866.0,588,374,3.0,23.0,2.0,19,5.0,3.0,56.0,2.0,120.0
71,18.0,5.0,14.0,2.0,19,102,216.0,32.0,138.0,40.0,27,118,128,1.0,109,13,1.0,12.0,17.0,45.0,1.0,47.0,0.0,0.0,381.0,1.0,34.0,10.0,46.0,22,2527.0,231,49,0.0,8.0,1.0,17,6.0,1.0,50.0,6.0,117.0
72,22.0,8.0,19.0,2.0,12,7,347.0,47.0,276.0,1.0,20,84,21,1.0,117,5,1.0,9.0,22.0,48.0,1.0,226.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1,1665.0,188,2,0.0,19.0,2.0,45,6.0,4.0,3.0,6.0,0.0
73,33.0,12.0,27.0,3.0,11,7,376.0,52.0,324.0,0.0,5,62,13,1.0,158,1,2.0,3.0,23.0,56.0,1.0,254.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0,1679.0,189,2,0.0,26.0,4.0,62,7.0,9.0,3.0,6.0,0.0
74,48.0,24.0,111.0,36.0,143,16,3811.0,367.0,1863.0,1.0,3,1150,248,4.0,333,7,5.0,111.0,27.0,83.0,4.0,1168.0,1.0,226.0,23.0,2.0,0.0,2.0,0.0,1,584.0,12,7,0.0,533.0,22.0,153,107.0,23.0,74.0,123.0,288.0
75,46.0,22.0,99.0,119.0,557,2764,3628.0,351.0,1774.0,4.0,6,1452,254,5.0,325,19,4.0,138.0,27.0,74.0,3.0,1101.0,1.0,200.0,21.0,2.0,0.0,1.0,0.0,152,571.0,10,7,0.0,513.0,22.0,153,98.0,25.0,75.0,123.0,281.0
76,50.0,26.0,112.0,129.0,565,2803,3733.0,356.0,1812.0,5.0,6,1495,269,5.0,354,27,5.0,145.0,28.0,84.0,4.0,1126.0,1.0,220.0,19.0,2.0,0.0,2.0,26.0,287,743.0,14,26,0.0,525.0,25.0,162,105.0,20.0,74.0,113.0,274.0
77,48.0,25.0,99.0,130.0,587,2889,3837.0,355.0,1846.0,12.0,7,1623,250,4.0,363,58,6.0,152.0,121.0,513.0,55.0,1146.0,1.0,227.0,57.0,2.0,1.0,1.0,34.0,298,858.0,18,32,1.0,533.0,26.0,843,171.0,453.0,113.0,555.0,1060.0
78,290.0,134.0,1727.0,139.0,615,2949,3922.0,382.0,1874.0,61.0,335,7255,6615,7.0,2939,870,62.0,1366.0,124.0,524.0,57.0,1370.0,4.0,304.0,108.0,3.0,180.0,5.0,39.0,321,1018.0,21,46,2.0,556.0,27.0,900,178.0,466.0,1067.0,2158.0,3632.0
79,303.0,142.0,1840.0,151.0,639,3038,4006.0,393.0,1904.0,462.0,406,7697,6964,10.0,3085,981,70.0,1524.0,130.0,538.0,57.0,1396.0,6.0,323.0,5818.0,3.0,703.0,138.0,813.0,1648,7698.0,743,550,6.0,593.0,31.0,944,190.0,474.0,1176.0,2197.0,3802.0
80,306.0,144.0,1855.0,151.0,658,3049,3967.0,397.0,1898.0,459.0,407,7709,6965,9.0,3103,973,74.0,1566.0,127.0,539.0,58.0,1405.0,6.0,330.0,6365.0,3.0,752.0,137.0,825.0,1658,7736.0,736,557,6.0,590.0,31.0,943,190.0,475.0,1196.0,2189.0,3815.0
81,306.0,140.0,1876.0,150.0,683,3062,3964.0,397.0,1963.0,461.0,405,7557,6781,8.0,3061,975,71.0,1607.0,131.0,520.0,57.0,1386.0,6.0,361.0,6374.0,3.0,740.0,141.0,911.0,1673,7685.0,734,557,6.0,597.0,29.0,915,186.0,471.0,1173.0,2139.0,3765.0
82,316.0,145.0,1960.0,155.0,720,3219,4053.0,417.0,2129.0,483.0,436,7620,6830,11.0,3059,1003,74.0,1683.0,129.0,566.0,57.0,1427.0,5.0,409.0,6510.0,3.0,803.0,140.0,962.0,1771,7736.0,760,583,6.0,703.0,26.0,941,195.0,471.0,1196.0,2174.0,4046.0
